validation_step,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - _step__MAX,Eii,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-Eii__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-Eii__MAX,iEE,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iEE__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iEE__MAX,iEi,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iEi__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iEi__MAX,EEi,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EEi__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EEi__MAX,iiE,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iiE__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iiE__MAX,EiE,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EiE__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EiE__MAX,iii,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iii__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-iii__MAX,EEE,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EEE__MIN,sso01-adamw-lr5e-5.eps1e-6-base-99y3e23k - validation/f1_score-EEE__MAX
49,20331.5,20328,20335,0.331606218,0.331606218,0.331606218,0.438356164,0.438356164,0.438356164,0,0,0,0.503937008,0.503937008,0.503937008,0.378698225,0.378698225,0.378698225,0,0,0,0.164890325,0.164890325,0.164890325,0.326194021,0.326194021,0.326194021
50,20339.5,20336,20343,0.336842105,0.336842105,0.336842105,0.420168067,0.420168067,0.420168067,0,0,0,0.4,0.4,0.4,0.403361345,0.403361345,0.403361345,0,0,0,0.050198915,0.050198915,0.050198915,0.298348604,0.298348604,0.298348604
51,20347.5,20344,20351,0.166666667,0.166666667,0.166666667,0.458333333,0.458333333,0.458333333,0,0,0,0.206185567,0.206185567,0.206185567,0.47826087,0.47826087,0.47826087,0,0,0,0.052916337,0.052916337,0.052916337,0.174366181,0.174366181,0.174366181
52,20355.5,20352,20359,0.427350427,0.427350427,0.427350427,0.520325203,0.520325203,0.520325203,0,0,0,0.480769231,0.480769231,0.480769231,0.516129032,0.516129032,0.516129032,0,0,0,0.053095872,0.053095872,0.053095872,0.4474102,0.4474102,0.4474102
53,20363.5,20360,20367,0.507936508,0.507936508,0.507936508,0.516129032,0.516129032,0.516129032,0,0,0,0.542372881,0.542372881,0.542372881,0.556521739,0.556521739,0.556521739,0,0,0,0.151031217,0.151031217,0.151031217,0.474411048,0.474411048,0.474411048
54,20371.5,20368,20375,0.5,0.5,0.5,0.823529412,0.823529412,0.823529412,0,0,0,0.512,0.512,0.512,0.861538462,0.861538462,0.861538462,0,0,0,0.333261448,0.333261448,0.333261448,0.501226626,0.501226626,0.501226626
55,20379.5,20376,20383,0.5,0.5,0.5,0.428571429,0.428571429,0.428571429,0,0,0,0.571428571,0.571428571,0.571428571,0.45,0.45,0.45,0,0,0,0.620592251,0.620592251,0.620592251,0.284433286,0.284433286,0.284433286
56,20387.5,20384,20391,0.923076923,0.923076923,0.923076923,0.633663366,0.633663366,0.633663366,0,0,0,1,1,1,0.64,0.64,0.64,0,0,0,0.143496463,0.143496463,0.143496463,0.363852172,0.363852172,0.363852172
57,20395.5,20392,20399,0.955223881,0.955223881,0.955223881,0.666666667,0.666666667,0.666666667,0,0,0,1,1,1,0.695652174,0.695652174,0.695652174,0,0,0,0.065043308,0.065043308,0.065043308,0.433401384,0.433401384,0.433401384
58,20403.5,20400,20407,0.984615385,0.984615385,0.984615385,0.955223881,0.955223881,0.955223881,0,0,0,1,1,1,0.927536232,0.927536232,0.927536232,0,0,0,0.19510708,0.19510708,0.19510708,0.451958035,0.451958035,0.451958035
59,20411.5,20408,20415,0.9,0.9,0.9,0.157894737,0.157894737,0.157894737,0,0,0,0.964285714,0.964285714,0.964285714,0.194444444,0.194444444,0.194444444,0,0,0,0.148335604,0.148335604,0.148335604,0.231299735,0.231299735,0.231299735
60,20419.5,20416,20423,0.28,0.28,0.28,0.711111111,0.711111111,0.711111111,0,0,0,0.358974359,0.358974359,0.358974359,0.621359223,0.621359223,0.621359223,0,0,0,0.086174314,0.086174314,0.086174314,0.368445815,0.368445815,0.368445815
