training_step,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step__MIN,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step__MAX,lr5e-5,sso01-adamw-lr5e-5-freeze.base-305bhnsz - training/f1_score-EEE__MIN,sso01-adamw-lr5e-5-freeze.base-305bhnsz - training/f1_score-EEE__MAX,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step__MIN,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step__MAX,lr3e-5,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - training/f1_score-EEE__MIN,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - training/f1_score-EEE__MAX,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step__MIN,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step__MAX,lr2e-5,sso01-adamw-lr2e-5-freeze.base-1q52u19t - training/f1_score-EEE__MIN,sso01-adamw-lr2e-5-freeze.base-1q52u19t - training/f1_score-EEE__MAX,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step__MIN,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step__MAX,lr1e-5,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - training/f1_score-EEE__MIN,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - training/f1_score-EEE__MAX,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step__MAX,lr2e-4,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - training/f1_score-EEE__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - training/f1_score-EEE__MAX,sso01-adamw-freeze.base-30v736in - _step,sso01-adamw-freeze.base-30v736in - _step__MIN,sso01-adamw-freeze.base-30v736in - _step__MAX,lr4e-4,sso01-adamw-freeze.base-30v736in - training/f1_score-EEE__MIN,sso01-adamw-freeze.base-30v736in - training/f1_score-EEE__MAX
46,422,422,422,0.122043092,0.122043092,0.122043092,422,422,422,0.061675718,0.061675718,0.061675718,422,422,422,0.190147647,0.190147647,0.190147647,422,422,422,0.05564473,0.05564473,0.05564473,422,422,422,0.233801956,0.233801956,0.233801956,422,422,422,0.363426689,0.363426689,0.363426689
47,431,431,431,0.143133462,0.143133462,0.143133462,431,431,431,0.062582057,0.062582057,0.062582057,431,431,431,0.207906296,0.207906296,0.207906296,431,431,431,0.074030087,0.074030087,0.074030087,431,431,431,0.224630851,0.224630851,0.224630851,431,431,431,0.336280177,0.336280177,0.336280177
48,440,440,440,0.163732394,0.163732394,0.163732394,440,440,440,0.057933698,0.057933698,0.057933698,440,440,440,0.211484764,0.211484764,0.211484764,440,440,440,0.08960047,0.08960047,0.08960047,440,440,440,0.244841119,0.244841119,0.244841119,440,440,440,0.391642896,0.391642896,0.391642896
49,449,449,449,0.133896653,0.133896653,0.133896653,449,449,449,0.07101086,0.07101086,0.07101086,449,449,449,0.208135392,0.208135392,0.208135392,449,449,449,0.079609463,0.079609463,0.079609463,449,449,449,0.242846553,0.242846553,0.242846553,449,449,449,0.385112432,0.385112432,0.385112432
50,458,458,458,0.158197832,0.158197832,0.158197832,458,458,458,0.075417661,0.075417661,0.075417661,458,458,458,0.184436175,0.184436175,0.184436175,458,458,458,0.091387661,0.091387661,0.091387661,458,458,458,0.209469154,0.209469154,0.209469154,458,458,458,0.332301342,0.332301342,0.332301342
51,467,467,467,0.142226283,0.142226283,0.142226283,467,467,467,0.062272543,0.062272543,0.062272543,467,467,467,0.202592962,0.202592962,0.202592962,467,467,467,0.078745769,0.078745769,0.078745769,467,467,467,0.216216216,0.216216216,0.216216216,467,467,467,0.363700009,0.363700009,0.363700009
52,476,476,476,0.132751636,0.132751636,0.132751636,476,476,476,0.072555205,0.072555205,0.072555205,476,476,476,0.203591121,0.203591121,0.203591121,476,476,476,0.061759425,0.061759425,0.061759425,476,476,476,0.229483512,0.229483512,0.229483512,476,476,476,0.368916659,0.368916659,0.368916659
53,485,485,485,0.132997164,0.132997164,0.132997164,485,485,485,0.078368653,0.078368653,0.078368653,485,485,485,0.188695779,0.188695779,0.188695779,485,485,485,0.06660793,0.06660793,0.06660793,485,485,485,0.219144352,0.219144352,0.219144352,485,485,485,0.368181818,0.368181818,0.368181818
54,494,494,494,0.117586385,0.117586385,0.117586385,494,494,494,0.073126143,0.073126143,0.073126143,494,494,494,0.20213955,0.20213955,0.20213955,494,494,494,0.072719968,0.072719968,0.072719968,494,494,494,0.243829219,0.243829219,0.243829219,494,494,494,0.355952381,0.355952381,0.355952381
55,503,503,503,0.151306382,0.151306382,0.151306382,503,503,503,0.064819479,0.064819479,0.064819479,503,503,503,0.196367331,0.196367331,0.196367331,503,503,503,0.097831103,0.097831103,0.097831103,503,503,503,0.269674993,0.269674993,0.269674993,503,503,503,0.412583284,0.412583284,0.412583284
56,512,512,512,0.148676494,0.148676494,0.148676494,512,512,512,0.078277076,0.078277076,0.078277076,512,512,512,0.161865999,0.161865999,0.161865999,512,512,512,0.094322175,0.094322175,0.094322175,512,512,512,0.191706322,0.191706322,0.191706322,512,512,512,0.339132999,0.339132999,0.339132999
57,521,521,521,0.117054264,0.117054264,0.117054264,521,521,521,0.079917505,0.079917505,0.079917505,521,521,521,0.182574052,0.182574052,0.182574052,521,521,521,0.071022081,0.071022081,0.071022081,521,521,521,0.244632172,0.244632172,0.244632172,521,521,521,0.322457222,0.322457222,0.322457222
58,530,530,530,0.165817992,0.165817992,0.165817992,530,530,530,0.087207438,0.087207438,0.087207438,530,530,530,0.211692308,0.211692308,0.211692308,530,530,530,0.07323689,0.07323689,0.07323689,530,530,530,0.242608036,0.242608036,0.242608036,530,530,530,0.42049316,0.42049316,0.42049316
59,539,539,539,0.138322753,0.138322753,0.138322753,539,539,539,0.084026258,0.084026258,0.084026258,539,539,539,0.174856414,0.174856414,0.174856414,539,539,539,0.070569366,0.070569366,0.070569366,539,539,539,0.210750399,0.210750399,0.210750399,539,539,539,0.361306855,0.361306855,0.361306855
60,548,548,548,0.143966126,0.143966126,0.143966126,548,548,548,0.077598315,0.077598315,0.077598315,548,548,548,0.189266269,0.189266269,0.189266269,548,548,548,0.090968161,0.090968161,0.090968161,548,548,548,0.251174358,0.251174358,0.251174358,548,548,548,0.378862851,0.378862851,0.378862851
61,557,557,557,0.160408614,0.160408614,0.160408614,557,557,557,0.083406343,0.083406343,0.083406343,557,557,557,0.218766473,0.218766473,0.218766473,557,557,557,0.079253316,0.079253316,0.079253316,557,557,557,0.223324359,0.223324359,0.223324359,557,557,557,0.391961722,0.391961722,0.391961722
62,566,566,566,0.127481039,0.127481039,0.127481039,566,566,566,0.089039728,0.089039728,0.089039728,566,566,566,0.207976795,0.207976795,0.207976795,566,566,566,0.065342491,0.065342491,0.065342491,566,566,566,0.271975498,0.271975498,0.271975498,566,566,566,0.386668073,0.386668073,0.386668073
63,575,575,575,0.139396295,0.139396295,0.139396295,575,575,575,0.102351314,0.102351314,0.102351314,575,575,575,0.236621769,0.236621769,0.236621769,575,575,575,0.092004063,0.092004063,0.092004063,575,575,575,0.281089221,0.281089221,0.281089221,575,575,575,0.424930233,0.424930233,0.424930233
