training_step,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step__MIN,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step__MAX,lr5e-5,sso01-adamw-lr5e-5-freeze.base-305bhnsz - training/f1_score-iii__MIN,sso01-adamw-lr5e-5-freeze.base-305bhnsz - training/f1_score-iii__MAX,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step__MIN,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step__MAX,lr3e-5,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - training/f1_score-iii__MIN,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - training/f1_score-iii__MAX,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step__MIN,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step__MAX,lr2e-5,sso01-adamw-lr2e-5-freeze.base-1q52u19t - training/f1_score-iii__MIN,sso01-adamw-lr2e-5-freeze.base-1q52u19t - training/f1_score-iii__MAX,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step__MIN,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step__MAX,lr1e-5,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - training/f1_score-iii__MIN,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - training/f1_score-iii__MAX,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step__MAX,lr2e-4,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - training/f1_score-iii__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - training/f1_score-iii__MAX,sso01-adamw-freeze.base-30v736in - _step,sso01-adamw-freeze.base-30v736in - _step__MIN,sso01-adamw-freeze.base-30v736in - _step__MAX,lr4e-4,sso01-adamw-freeze.base-30v736in - training/f1_score-iii__MIN,sso01-adamw-freeze.base-30v736in - training/f1_score-iii__MAX
8117,86383,86383,86383,0.647823442,0.647823442,0.647823442,86383,86383,86383,0.629195941,0.629195941,0.629195941,86383,86383,86383,0.598533508,0.598533508,0.598533508,86383,86383,86383,0.594664131,0.594664131,0.594664131,86383,86383,86383,0.698456188,0.698456188,0.698456188,86383,86383,86383,0.704250419,0.704250419,0.704250419
8118,86392,86392,86392,0.702543274,0.702543274,0.702543274,86392,86392,86392,0.687913704,0.687913704,0.687913704,86392,86392,86392,0.654064272,0.654064272,0.654064272,86392,86392,86392,0.639216271,0.639216271,0.639216271,86392,86392,86392,0.752969788,0.752969788,0.752969788,86392,86392,86392,0.76512176,0.76512176,0.76512176
8119,86401,86401,86401,0.715582749,0.715582749,0.715582749,86401,86401,86401,0.688255439,0.688255439,0.688255439,86401,86401,86401,0.652363152,0.652363152,0.652363152,86401,86401,86401,0.644321806,0.644321806,0.644321806,86401,86401,86401,0.761701117,0.761701117,0.761701117,86401,86401,86401,0.787628479,0.787628479,0.787628479
8120,86410,86410,86410,0.66894198,0.66894198,0.66894198,86410,86410,86410,0.64979406,0.64979406,0.64979406,86410,86410,86410,0.617775566,0.617775566,0.617775566,86410,86410,86410,0.604109439,0.604109439,0.604109439,86410,86410,86410,0.701136364,0.701136364,0.701136364,86410,86410,86410,0.710323575,0.710323575,0.710323575
8121,86419,86419,86419,0.723693528,0.723693528,0.723693528,86419,86419,86419,0.700067249,0.700067249,0.700067249,86419,86419,86419,0.658410733,0.658410733,0.658410733,86419,86419,86419,0.632630957,0.632630957,0.632630957,86419,86419,86419,0.779138609,0.779138609,0.779138609,86419,86419,86419,0.794441954,0.794441954,0.794441954
8122,86428,86428,86428,0.686444955,0.686444955,0.686444955,86428,86428,86428,0.667981962,0.667981962,0.667981962,86428,86428,86428,0.637426901,0.637426901,0.637426901,86428,86428,86428,0.62611645,0.62611645,0.62611645,86428,86428,86428,0.730781706,0.730781706,0.730781706,86428,86428,86428,0.745782872,0.745782872,0.745782872
8123,86437,86437,86437,0.634459496,0.634459496,0.634459496,86437,86437,86437,0.612179664,0.612179664,0.612179664,86437,86437,86437,0.577334685,0.577334685,0.577334685,86437,86437,86437,0.575514937,0.575514937,0.575514937,86437,86437,86437,0.703145952,0.703145952,0.703145952,86437,86437,86437,0.720762755,0.720762755,0.720762755
8124,86446,86446,86446,0.704548859,0.704548859,0.704548859,86446,86446,86446,0.671114761,0.671114761,0.671114761,86446,86446,86446,0.605462253,0.605462253,0.605462253,86446,86446,86446,0.581718346,0.581718346,0.581718346,86446,86446,86446,0.783881749,0.783881749,0.783881749,86446,86446,86446,0.794068427,0.794068427,0.794068427
8125,86455,86455,86455,0.704417341,0.704417341,0.704417341,86455,86455,86455,0.672033898,0.672033898,0.672033898,86455,86455,86455,0.635063387,0.635063387,0.635063387,86455,86455,86455,0.618625756,0.618625756,0.618625756,86455,86455,86455,0.759068865,0.759068865,0.759068865,86455,86455,86455,0.764143657,0.764143657,0.764143657
8126,86464,86464,86464,0.708440403,0.708440403,0.708440403,86464,86464,86464,0.685545012,0.685545012,0.685545012,86464,86464,86464,0.651084803,0.651084803,0.651084803,86464,86464,86464,0.632668442,0.632668442,0.632668442,86464,86464,86464,0.754606167,0.754606167,0.754606167,86464,86464,86464,0.768623396,0.768623396,0.768623396
8127,86473,86473,86473,0.710955356,0.710955356,0.710955356,86473,86473,86473,0.683971044,0.683971044,0.683971044,86473,86473,86473,0.643910256,0.643910256,0.643910256,86473,86473,86473,0.623545044,0.623545044,0.623545044,86473,86473,86473,0.771505635,0.771505635,0.771505635,86473,86473,86473,0.781488047,0.781488047,0.781488047
8128,86482,86482,86482,0.691273426,0.691273426,0.691273426,86482,86482,86482,0.662627753,0.662627753,0.662627753,86482,86482,86482,0.635412217,0.635412217,0.635412217,86482,86482,86482,0.614136237,0.614136237,0.614136237,86482,86482,86482,0.740005952,0.740005952,0.740005952,86482,86482,86482,0.751552183,0.751552183,0.751552183
8129,86491,86491,86491,0.715912686,0.715912686,0.715912686,86491,86491,86491,0.684777367,0.684777367,0.684777367,86491,86491,86491,0.647275087,0.647275087,0.647275087,86491,86491,86491,0.621502841,0.621502841,0.621502841,86491,86491,86491,0.761807818,0.761807818,0.761807818,86491,86491,86491,0.771411217,0.771411217,0.771411217
8130,86500,86500,86500,0.670622176,0.670622176,0.670622176,86500,86500,86500,0.630576441,0.630576441,0.630576441,86500,86500,86500,0.600192406,0.600192406,0.600192406,86500,86500,86500,0.581576277,0.581576277,0.581576277,86500,86500,86500,0.732044341,0.732044341,0.732044341,86500,86500,86500,0.733487773,0.733487773,0.733487773
8131,86509,86509,86509,0.710184622,0.710184622,0.710184622,86509,86509,86509,0.690042362,0.690042362,0.690042362,86509,86509,86509,0.667801682,0.667801682,0.667801682,86509,86509,86509,0.655754476,0.655754476,0.655754476,86509,86509,86509,0.760707002,0.760707002,0.760707002,86509,86509,86509,0.757394725,0.757394725,0.757394725
8132,86518,86518,86518,0.649086758,0.649086758,0.649086758,86518,86518,86518,0.616484096,0.616484096,0.616484096,86518,86518,86518,0.567290284,0.567290284,0.567290284,86518,86518,86518,0.53743267,0.53743267,0.53743267,86518,86518,86518,0.721092826,0.721092826,0.721092826,86518,86518,86518,0.735317694,0.735317694,0.735317694
8133,86527,86527,86527,0.654598117,0.654598117,0.654598117,86527,86527,86527,0.63909732,0.63909732,0.63909732,86527,86527,86527,0.615367103,0.615367103,0.615367103,86527,86527,86527,0.609477033,0.609477033,0.609477033,86527,86527,86527,0.706760503,0.706760503,0.706760503,86527,86527,86527,0.714565367,0.714565367,0.714565367
8134,86536,86536,86536,0.694535116,0.694535116,0.694535116,86536,86536,86536,0.661323513,0.661323513,0.661323513,86536,86536,86536,0.623258396,0.623258396,0.623258396,86536,86536,86536,0.602256388,0.602256388,0.602256388,86536,86536,86536,0.753611517,0.753611517,0.753611517,86536,86536,86536,0.772720563,0.772720563,0.772720563
8135,86545,86545,86545,0.71657754,0.71657754,0.71657754,86545,86545,86545,0.684947937,0.684947937,0.684947937,86545,86545,86545,0.657428791,0.657428791,0.657428791,86545,86545,86545,0.633172444,0.633172444,0.633172444,86545,86545,86545,0.760499197,0.760499197,0.760499197,86545,86545,86545,0.776342763,0.776342763,0.776342763
8136,86554,86554,86554,0.682356409,0.682356409,0.682356409,86554,86554,86554,0.644656644,0.644656644,0.644656644,86554,86554,86554,0.603556431,0.603556431,0.603556431,86554,86554,86554,0.583203571,0.583203571,0.583203571,86554,86554,86554,0.741585692,0.741585692,0.741585692,86554,86554,86554,0.751524177,0.751524177,0.751524177
8137,86563,86563,86563,0.693264038,0.693264038,0.693264038,86563,86563,86563,0.667674977,0.667674977,0.667674977,86563,86563,86563,0.645080295,0.645080295,0.645080295,86563,86563,86563,0.63596559,0.63596559,0.63596559,86563,86563,86563,0.738083441,0.738083441,0.738083441,86563,86563,86563,0.741938675,0.741938675,0.741938675
8138,86572,86572,86572,0.684550531,0.684550531,0.684550531,86572,86572,86572,0.657087379,0.657087379,0.657087379,86572,86572,86572,0.617276953,0.617276953,0.617276953,86572,86572,86572,0.59546526,0.59546526,0.59546526,86572,86572,86572,0.736090699,0.736090699,0.736090699,86572,86572,86572,0.743720158,0.743720158,0.743720158
8139,86581,86581,86581,0.69958448,0.69958448,0.69958448,86581,86581,86581,0.685140738,0.685140738,0.685140738,86581,86581,86581,0.63495463,0.63495463,0.63495463,86581,86581,86581,0.623283516,0.623283516,0.623283516,86581,86581,86581,0.742459882,0.742459882,0.742459882,86581,86581,86581,0.752861953,0.752861953,0.752861953
8140,86590,86590,86590,0.675849788,0.675849788,0.675849788,86590,86590,86590,0.668486248,0.668486248,0.668486248,86590,86590,86590,0.648829782,0.648829782,0.648829782,86590,86590,86590,0.639223422,0.639223422,0.639223422,86590,86590,86590,0.732401448,0.732401448,0.732401448,86590,86590,86590,0.736600688,0.736600688,0.736600688
8141,86599,86599,86599,0.687171962,0.687171962,0.687171962,86599,86599,86599,0.657666895,0.657666895,0.657666895,86599,86599,86599,0.624330704,0.624330704,0.624330704,86599,86599,86599,0.607815416,0.607815416,0.607815416,86599,86599,86599,0.73410373,0.73410373,0.73410373,86599,86599,86599,0.745707098,0.745707098,0.745707098
8142,86608,86608,86608,0.644649488,0.644649488,0.644649488,86608,86608,86608,0.624206735,0.624206735,0.624206735,86608,86608,86608,0.592562273,0.592562273,0.592562273,86608,86608,86608,0.582065468,0.582065468,0.582065468,86608,86608,86608,0.689317217,0.689317217,0.689317217,86608,86608,86608,0.695459459,0.695459459,0.695459459
8143,86617,86617,86617,0.666487705,0.666487705,0.666487705,86617,86617,86617,0.651215682,0.651215682,0.651215682,86617,86617,86617,0.627089655,0.627089655,0.627089655,86617,86617,86617,0.61167485,0.61167485,0.61167485,86617,86617,86617,0.716373212,0.716373212,0.716373212,86617,86617,86617,0.737621753,0.737621753,0.737621753
8144,86626,86626,86626,0.670529365,0.670529365,0.670529365,86626,86626,86626,0.638376184,0.638376184,0.638376184,86626,86626,86626,0.596925468,0.596925468,0.596925468,86626,86626,86626,0.591623323,0.591623323,0.591623323,86626,86626,86626,0.724894814,0.724894814,0.724894814,86626,86626,86626,0.741214696,0.741214696,0.741214696
8145,86635,86635,86635,0.652780092,0.652780092,0.652780092,86635,86635,86635,0.631286815,0.631286815,0.631286815,86635,86635,86635,0.580122413,0.580122413,0.580122413,86635,86635,86635,0.569528832,0.569528832,0.569528832,86635,86635,86635,0.734924754,0.734924754,0.734924754,86635,86635,86635,0.734001142,0.734001142,0.734001142
8146,86644,86644,86644,0.713770236,0.713770236,0.713770236,86644,86644,86644,0.692537017,0.692537017,0.692537017,86644,86644,86644,0.668476621,0.668476621,0.668476621,86644,86644,86644,0.64858871,0.64858871,0.64858871,86644,86644,86644,0.766848561,0.766848561,0.766848561,86644,86644,86644,0.780676685,0.780676685,0.780676685
8147,86653,86653,86653,0.703459389,0.703459389,0.703459389,86653,86653,86653,0.696476553,0.696476553,0.696476553,86653,86653,86653,0.666700851,0.666700851,0.666700851,86653,86653,86653,0.652317712,0.652317712,0.652317712,86653,86653,86653,0.747534902,0.747534902,0.747534902,86653,86653,86653,0.755350643,0.755350643,0.755350643
8148,86662,86662,86662,0.689971289,0.689971289,0.689971289,86662,86662,86662,0.658439614,0.658439614,0.658439614,86662,86662,86662,0.622642506,0.622642506,0.622642506,86662,86662,86662,0.599011742,0.599011742,0.599011742,86662,86662,86662,0.739715382,0.739715382,0.739715382,86662,86662,86662,0.753922694,0.753922694,0.753922694
8149,86671,86671,86671,0.707854642,0.707854642,0.707854642,86671,86671,86671,0.693772313,0.693772313,0.693772313,86671,86671,86671,0.655229998,0.655229998,0.655229998,86671,86671,86671,0.634714243,0.634714243,0.634714243,86671,86671,86671,0.764161631,0.764161631,0.764161631,86671,86671,86671,0.776750082,0.776750082,0.776750082
8150,86680,86680,86680,0.679033226,0.679033226,0.679033226,86680,86680,86680,0.664690708,0.664690708,0.664690708,86680,86680,86680,0.63882694,0.63882694,0.63882694,86680,86680,86680,0.621839461,0.621839461,0.621839461,86680,86680,86680,0.735640571,0.735640571,0.735640571,86680,86680,86680,0.741119933,0.741119933,0.741119933
8151,86689,86689,86689,0.623651079,0.623651079,0.623651079,86689,86689,86689,0.601084165,0.601084165,0.601084165,86689,86689,86689,0.571097193,0.571097193,0.571097193,86689,86689,86689,0.563196181,0.563196181,0.563196181,86689,86689,86689,0.678378961,0.678378961,0.678378961,86689,86689,86689,0.697689243,0.697689243,0.697689243
8152,86698,86698,86698,0.692431877,0.692431877,0.692431877,86698,86698,86698,0.660846748,0.660846748,0.660846748,86698,86698,86698,0.616996027,0.616996027,0.616996027,86698,86698,86698,0.589976034,0.589976034,0.589976034,86698,86698,86698,0.75540102,0.75540102,0.75540102,86698,86698,86698,0.765306594,0.765306594,0.765306594
8153,86707,86707,86707,0.6959254,0.6959254,0.6959254,86707,86707,86707,0.673221456,0.673221456,0.673221456,86707,86707,86707,0.644190817,0.644190817,0.644190817,86707,86707,86707,0.629513344,0.629513344,0.629513344,86707,86707,86707,0.752906139,0.752906139,0.752906139,86707,86707,86707,0.757717226,0.757717226,0.757717226
8154,86716,86716,86716,0.650296816,0.650296816,0.650296816,86716,86716,86716,0.610852713,0.610852713,0.610852713,86716,86716,86716,0.578571026,0.578571026,0.578571026,86716,86716,86716,0.551836643,0.551836643,0.551836643,86716,86716,86716,0.713759214,0.713759214,0.713759214,86716,86716,86716,0.721301443,0.721301443,0.721301443
8155,86725,86725,86725,0.67783292,0.67783292,0.67783292,86725,86725,86725,0.652192023,0.652192023,0.652192023,86725,86725,86725,0.615384615,0.615384615,0.615384615,86725,86725,86725,0.606272504,0.606272504,0.606272504,86725,86725,86725,0.727046405,0.727046405,0.727046405,86725,86725,86725,0.738370077,0.738370077,0.738370077
8156,86734,86734,86734,0.676652788,0.676652788,0.676652788,86734,86734,86734,0.651347313,0.651347313,0.651347313,86734,86734,86734,0.619492237,0.619492237,0.619492237,86734,86734,86734,0.603189445,0.603189445,0.603189445,86734,86734,86734,0.731804489,0.731804489,0.731804489,86734,86734,86734,0.741514612,0.741514612,0.741514612
8157,86743,86743,86743,0.698467472,0.698467472,0.698467472,86743,86743,86743,0.675857084,0.675857084,0.675857084,86743,86743,86743,0.644622017,0.644622017,0.644622017,86743,86743,86743,0.638857261,0.638857261,0.638857261,86743,86743,86743,0.745055594,0.745055594,0.745055594,86743,86743,86743,0.745812663,0.745812663,0.745812663
8158,86752,86752,86752,0.66841553,0.66841553,0.66841553,86752,86752,86752,0.638227443,0.638227443,0.638227443,86752,86752,86752,0.615235532,0.615235532,0.615235532,86752,86752,86752,0.600489414,0.600489414,0.600489414,86752,86752,86752,0.710481013,0.710481013,0.710481013,86752,86752,86752,0.727281815,0.727281815,0.727281815
8159,86761,86761,86761,0.712142569,0.712142569,0.712142569,86761,86761,86761,0.677437613,0.677437613,0.677437613,86761,86761,86761,0.639701241,0.639701241,0.639701241,86761,86761,86761,0.628071637,0.628071637,0.628071637,86761,86761,86761,0.761090018,0.761090018,0.761090018,86761,86761,86761,0.762297045,0.762297045,0.762297045
8160,86770,86770,86770,0.703841957,0.703841957,0.703841957,86770,86770,86770,0.672734795,0.672734795,0.672734795,86770,86770,86770,0.617795878,0.617795878,0.617795878,86770,86770,86770,0.590749089,0.590749089,0.590749089,86770,86770,86770,0.77106764,0.77106764,0.77106764,86770,86770,86770,0.776179395,0.776179395,0.776179395
8161,86779,86779,86779,0.661889927,0.661889927,0.661889927,86779,86779,86779,0.62848034,0.62848034,0.62848034,86779,86779,86779,0.600217037,0.600217037,0.600217037,86779,86779,86779,0.599499441,0.599499441,0.599499441,86779,86779,86779,0.707244063,0.707244063,0.707244063,86779,86779,86779,0.71737841,0.71737841,0.71737841
8162,86788,86788,86788,0.717162405,0.717162405,0.717162405,86788,86788,86788,0.689696426,0.689696426,0.689696426,86788,86788,86788,0.653353082,0.653353082,0.653353082,86788,86788,86788,0.634039071,0.634039071,0.634039071,86788,86788,86788,0.759818378,0.759818378,0.759818378,86788,86788,86788,0.771137835,0.771137835,0.771137835
8163,86797,86797,86797,0.716929404,0.716929404,0.716929404,86797,86797,86797,0.694288133,0.694288133,0.694288133,86797,86797,86797,0.658194388,0.658194388,0.658194388,86797,86797,86797,0.650891736,0.650891736,0.650891736,86797,86797,86797,0.76867594,0.76867594,0.76867594,86797,86797,86797,0.775392084,0.775392084,0.775392084
8164,86806,86806,86806,0.634960595,0.634960595,0.634960595,86806,86806,86806,0.602724368,0.602724368,0.602724368,86806,86806,86806,0.566078666,0.566078666,0.566078666,86806,86806,86806,0.563397736,0.563397736,0.563397736,86806,86806,86806,0.688481812,0.688481812,0.688481812,86806,86806,86806,0.697163486,0.697163486,0.697163486
8165,86815,86815,86815,0.691512002,0.691512002,0.691512002,86815,86815,86815,0.661508315,0.661508315,0.661508315,86815,86815,86815,0.631168964,0.631168964,0.631168964,86815,86815,86815,0.634082698,0.634082698,0.634082698,86815,86815,86815,0.737323675,0.737323675,0.737323675,86815,86815,86815,0.75100687,0.75100687,0.75100687
8166,86824,86824,86824,0.728246977,0.728246977,0.728246977,86824,86824,86824,0.710881652,0.710881652,0.710881652,86824,86824,86824,0.673407174,0.673407174,0.673407174,86824,86824,86824,0.650293701,0.650293701,0.650293701,86824,86824,86824,0.785325066,0.785325066,0.785325066,86824,86824,86824,0.79343161,0.79343161,0.79343161
8167,86833,86833,86833,0.687932473,0.687932473,0.687932473,86833,86833,86833,0.653493296,0.653493296,0.653493296,86833,86833,86833,0.59386025,0.59386025,0.59386025,86833,86833,86833,0.579850511,0.579850511,0.579850511,86833,86833,86833,0.750566579,0.750566579,0.750566579,86833,86833,86833,0.763502119,0.763502119,0.763502119
8168,86842,86842,86842,0.688218236,0.688218236,0.688218236,86842,86842,86842,0.668535389,0.668535389,0.668535389,86842,86842,86842,0.652662118,0.652662118,0.652662118,86842,86842,86842,0.634806513,0.634806513,0.634806513,86842,86842,86842,0.7318236,0.7318236,0.7318236,86842,86842,86842,0.745019305,0.745019305,0.745019305
8169,86851,86851,86851,0.711619506,0.711619506,0.711619506,86851,86851,86851,0.690106545,0.690106545,0.690106545,86851,86851,86851,0.64502705,0.64502705,0.64502705,86851,86851,86851,0.629644964,0.629644964,0.629644964,86851,86851,86851,0.759745,0.759745,0.759745,86851,86851,86851,0.774037765,0.774037765,0.774037765
8170,86860,86860,86860,0.642551536,0.642551536,0.642551536,86860,86860,86860,0.607606416,0.607606416,0.607606416,86860,86860,86860,0.57803201,0.57803201,0.57803201,86860,86860,86860,0.576276977,0.576276977,0.576276977,86860,86860,86860,0.696050553,0.696050553,0.696050553,86860,86860,86860,0.701137973,0.701137973,0.701137973
8171,86869,86869,86869,0.676530612,0.676530612,0.676530612,86869,86869,86869,0.650246871,0.650246871,0.650246871,86869,86869,86869,0.624222171,0.624222171,0.624222171,86869,86869,86869,0.612381547,0.612381547,0.612381547,86869,86869,86869,0.727838428,0.727838428,0.727838428,86869,86869,86869,0.734722674,0.734722674,0.734722674
8172,86878,86878,86878,0.667161096,0.667161096,0.667161096,86878,86878,86878,0.625982737,0.625982737,0.625982737,86878,86878,86878,0.586054921,0.586054921,0.586054921,86878,86878,86878,0.571332019,0.571332019,0.571332019,86878,86878,86878,0.726389584,0.726389584,0.726389584,86878,86878,86878,0.728520969,0.728520969,0.728520969
8173,86887,86887,86887,0.680994748,0.680994748,0.680994748,86887,86887,86887,0.64822656,0.64822656,0.64822656,86887,86887,86887,0.615865224,0.615865224,0.615865224,86887,86887,86887,0.597629859,0.597629859,0.597629859,86887,86887,86887,0.725932797,0.725932797,0.725932797,86887,86887,86887,0.733425485,0.733425485,0.733425485
8174,86896,86896,86896,0.741886934,0.741886934,0.741886934,86896,86896,86896,0.716459463,0.716459463,0.716459463,86896,86896,86896,0.674623921,0.674623921,0.674623921,86896,86896,86896,0.656804443,0.656804443,0.656804443,86896,86896,86896,0.798312918,0.798312918,0.798312918,86896,86896,86896,0.809344051,0.809344051,0.809344051
8175,86905,86905,86905,0.698054819,0.698054819,0.698054819,86905,86905,86905,0.667117803,0.667117803,0.667117803,86905,86905,86905,0.627083573,0.627083573,0.627083573,86905,86905,86905,0.608180472,0.608180472,0.608180472,86905,86905,86905,0.746435081,0.746435081,0.746435081,86905,86905,86905,0.763651742,0.763651742,0.763651742
8176,86914,86914,86914,0.71496139,0.71496139,0.71496139,86914,86914,86914,0.674151697,0.674151697,0.674151697,86914,86914,86914,0.631844121,0.631844121,0.631844121,86914,86914,86914,0.611586536,0.611586536,0.611586536,86914,86914,86914,0.779165342,0.779165342,0.779165342,86914,86914,86914,0.782994924,0.782994924,0.782994924
8177,86923,86923,86923,0.677590931,0.677590931,0.677590931,86923,86923,86923,0.651469706,0.651469706,0.651469706,86923,86923,86923,0.630576774,0.630576774,0.630576774,86923,86923,86923,0.618456321,0.618456321,0.618456321,86923,86923,86923,0.728144824,0.728144824,0.728144824,86923,86923,86923,0.729332644,0.729332644,0.729332644
8178,86932,86932,86932,0.669398361,0.669398361,0.669398361,86932,86932,86932,0.655495368,0.655495368,0.655495368,86932,86932,86932,0.628489179,0.628489179,0.628489179,86932,86932,86932,0.619418563,0.619418563,0.619418563,86932,86932,86932,0.729553725,0.729553725,0.729553725,86932,86932,86932,0.736002293,0.736002293,0.736002293
8179,86941,86941,86941,0.666567799,0.666567799,0.666567799,86941,86941,86941,0.652809777,0.652809777,0.652809777,86941,86941,86941,0.614996914,0.614996914,0.614996914,86941,86941,86941,0.604303279,0.604303279,0.604303279,86941,86941,86941,0.734406345,0.734406345,0.734406345,86941,86941,86941,0.732007841,0.732007841,0.732007841
8180,86950,86950,86950,0.707086451,0.707086451,0.707086451,86950,86950,86950,0.673144688,0.673144688,0.673144688,86950,86950,86950,0.636750525,0.636750525,0.636750525,86950,86950,86950,0.618670634,0.618670634,0.618670634,86950,86950,86950,0.763826607,0.763826607,0.763826607,86950,86950,86950,0.777494359,0.777494359,0.777494359
8181,86959,86959,86959,0.738102218,0.738102218,0.738102218,86959,86959,86959,0.702881483,0.702881483,0.702881483,86959,86959,86959,0.65257732,0.65257732,0.65257732,86959,86959,86959,0.626752518,0.626752518,0.626752518,86959,86959,86959,0.797928898,0.797928898,0.797928898,86959,86959,86959,0.810397976,0.810397976,0.810397976
8182,86968,86968,86968,0.669965818,0.669965818,0.669965818,86968,86968,86968,0.664453524,0.664453524,0.664453524,86968,86968,86968,0.629138381,0.629138381,0.629138381,86968,86968,86968,0.616419919,0.616419919,0.616419919,86968,86968,86968,0.726022089,0.726022089,0.726022089,86968,86968,86968,0.733497513,0.733497513,0.733497513
8183,86977,86977,86977,0.693353806,0.693353806,0.693353806,86977,86977,86977,0.668146997,0.668146997,0.668146997,86977,86977,86977,0.644800805,0.644800805,0.644800805,86977,86977,86977,0.631642182,0.631642182,0.631642182,86977,86977,86977,0.719514161,0.719514161,0.719514161,86977,86977,86977,0.726077897,0.726077897,0.726077897
8184,86986,86986,86986,0.668145082,0.668145082,0.668145082,86986,86986,86986,0.645455914,0.645455914,0.645455914,86986,86986,86986,0.607859359,0.607859359,0.607859359,86986,86986,86986,0.59696424,0.59696424,0.59696424,86986,86986,86986,0.735588508,0.735588508,0.735588508,86986,86986,86986,0.740299335,0.740299335,0.740299335
8185,86995,86995,86995,0.681650278,0.681650278,0.681650278,86995,86995,86995,0.657537155,0.657537155,0.657537155,86995,86995,86995,0.613756039,0.613756039,0.613756039,86995,86995,86995,0.602451272,0.602451272,0.602451272,86995,86995,86995,0.739826017,0.739826017,0.739826017,86995,86995,86995,0.749441493,0.749441493,0.749441493
8186,87004,87004,87004,0.710693999,0.710693999,0.710693999,87004,87004,87004,0.702098179,0.702098179,0.702098179,87004,87004,87004,0.675934321,0.675934321,0.675934321,87004,87004,87004,0.659819639,0.659819639,0.659819639,87004,87004,87004,0.755807257,0.755807257,0.755807257,87004,87004,87004,0.755555556,0.755555556,0.755555556
8187,87013,87013,87013,0.713798352,0.713798352,0.713798352,87013,87013,87013,0.682615459,0.682615459,0.682615459,87013,87013,87013,0.636861011,0.636861011,0.636861011,87013,87013,87013,0.612784636,0.612784636,0.612784636,87013,87013,87013,0.769629076,0.769629076,0.769629076,87013,87013,87013,0.770194363,0.770194363,0.770194363
8188,87022,87022,87022,0.727366044,0.727366044,0.727366044,87022,87022,87022,0.697046147,0.697046147,0.697046147,87022,87022,87022,0.656695464,0.656695464,0.656695464,87022,87022,87022,0.638671666,0.638671666,0.638671666,87022,87022,87022,0.770733633,0.770733633,0.770733633,87022,87022,87022,0.788732394,0.788732394,0.788732394
8189,87031,87031,87031,0.667673064,0.667673064,0.667673064,87031,87031,87031,0.648905388,0.648905388,0.648905388,87031,87031,87031,0.623406593,0.623406593,0.623406593,87031,87031,87031,0.610627601,0.610627601,0.610627601,87031,87031,87031,0.702699863,0.702699863,0.702699863,87031,87031,87031,0.719294606,0.719294606,0.719294606
8190,87040,87040,87040,0.688351827,0.688351827,0.688351827,87040,87040,87040,0.658880678,0.658880678,0.658880678,87040,87040,87040,0.628146272,0.628146272,0.628146272,87040,87040,87040,0.618379736,0.618379736,0.618379736,87040,87040,87040,0.730006305,0.730006305,0.730006305,87040,87040,87040,0.74483945,0.74483945,0.74483945
8191,87049,87049,87049,0.7107793,0.7107793,0.7107793,87049,87049,87049,0.67809504,0.67809504,0.67809504,87049,87049,87049,0.638703527,0.638703527,0.638703527,87049,87049,87049,0.616305947,0.616305947,0.616305947,87049,87049,87049,0.76986181,0.76986181,0.76986181,87049,87049,87049,0.774856481,0.774856481,0.774856481
8192,87058,87058,87058,0.727159249,0.727159249,0.727159249,87058,87058,87058,0.689550037,0.689550037,0.689550037,87058,87058,87058,0.655943075,0.655943075,0.655943075,87058,87058,87058,0.629622227,0.629622227,0.629622227,87058,87058,87058,0.779998158,0.779998158,0.779998158,87058,87058,87058,0.789254877,0.789254877,0.789254877
8193,87067,87067,87067,0.644144392,0.644144392,0.644144392,87067,87067,87067,0.615358726,0.615358726,0.615358726,87067,87067,87067,0.579743355,0.579743355,0.579743355,87067,87067,87067,0.576166037,0.576166037,0.576166037,87067,87067,87067,0.696724348,0.696724348,0.696724348,87067,87067,87067,0.708109814,0.708109814,0.708109814
