validation_step,sso01-adamw-lr5e-5-base.lin1-2w1boplw - _step,sso01-adamw-lr5e-5-base.lin1-2w1boplw - _step__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - _step__MAX,Eii,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-Eii__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-Eii__MAX,iEE,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iEE__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iEE__MAX,iEi,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iEi__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iEi__MAX,EEi,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EEi__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EEi__MAX,iiE,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iiE__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iiE__MAX,EiE,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EiE__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EiE__MAX,iii,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iii__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-iii__MAX,EEE,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EEE__MIN,sso01-adamw-lr5e-5-base.lin1-2w1boplw - validation/f1_score-EEE__MAX
71,20507.5,20504,20511,0.95890411,0.95890411,0.95890411,0.62745098,0.62745098,0.62745098,0,0,0,0.95890411,0.95890411,0.95890411,0.709677419,0.709677419,0.709677419,0,0,0,0.998276488,0.998276488,0.998276488,0.992683641,0.992683641,0.992683641
72,20515.5,20512,20519,0.984615385,0.984615385,0.984615385,0.561403509,0.561403509,0.561403509,0,0,0,0.96969697,0.96969697,0.96969697,0.633663366,0.633663366,0.633663366,0,0,0,0.982697427,0.982697427,0.982697427,0.951199508,0.951199508,0.951199508
73,20523.5,20520,20527,1,1,1,0.659793814,0.659793814,0.659793814,0,0,0,1,1,1,0.659793814,0.659793814,0.659793814,0,0,0,0.999868323,0.999868323,0.999868323,0.99318301,0.99318301,0.99318301
74,20531.5,20528,20535,0.864864865,0.864864865,0.864864865,0.598130841,0.598130841,0.598130841,0,0,0,0.941176471,0.941176471,0.941176471,0.603773585,0.603773585,0.603773585,0,0,0,0.998021369,0.998021369,0.998021369,0.992454412,0.992454412,0.992454412
75,20539.5,20536,20543,0.481203008,0.481203008,0.481203008,0.384615385,0.384615385,0.384615385,0,0,0,0.561403509,0.561403509,0.561403509,0.416666667,0.416666667,0.416666667,0,0,0,0.994739395,0.994739395,0.994739395,0.991696751,0.991696751,0.991696751
76,20547.5,20544,20551,0.8,0.8,0.8,0.895522388,0.895522388,0.895522388,0,0,0,0.818181818,0.818181818,0.818181818,0.821917808,0.821917808,0.821917808,0,0,0,0.997713602,0.997713602,0.997713602,0.990959317,0.990959317,0.990959317
77,20555.5,20552,20559,0.688172043,0.688172043,0.688172043,0.810126582,0.810126582,0.810126582,0,0,0,0.842105263,0.842105263,0.842105263,0.711111111,0.711111111,0.711111111,0,0,0,0.996947361,0.996947361,0.996947361,1,1,1
78,20563.5,20560,20567,0.695652174,0.695652174,0.695652174,0.842105263,0.842105263,0.842105263,0,0,0,0.955223881,0.955223881,0.955223881,0.711111111,0.711111111,0.711111111,0,0,0,0.997134031,0.997134031,0.997134031,0.998531571,0.998531571,0.998531571
79,20571.5,20568,20575,0.533333333,0.533333333,0.533333333,0.956521739,0.956521739,0.956521739,0,0,0,0.606060606,0.606060606,0.606060606,0.936170213,0.936170213,0.936170213,0,0,0,0.997632736,0.997632736,0.997632736,0.997884344,0.997884344,0.997884344
80,20579.5,20576,20583,0,0,0,0.927536232,0.927536232,0.927536232,0,0,0,0,0,0,0.955223881,0.955223881,0.955223881,0,0,0,0.995565583,0.995565583,0.995565583,0.99369937,0.99369937,0.99369937
