validation_step,sso01-adamw-lr5e-5-base-291mo307 - _step,sso01-adamw-lr5e-5-base-291mo307 - _step__MIN,sso01-adamw-lr5e-5-base-291mo307 - _step__MAX,Eii,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-Eii__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-Eii__MAX,iEE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEE__MAX,iEi,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEi__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iEi__MAX,EEi,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEi__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEi__MAX,iiE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iiE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iiE__MAX,EiE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EiE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EiE__MAX,iii,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iii__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-iii__MAX,EEE,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEE__MIN,sso01-adamw-lr5e-5-base-291mo307 - validation/f1_score-EEE__MAX
70,20499.5,20496,20503,0.901408451,0.901408451,0.901408451,0.565517241,0.565517241,0.565517241,0,0,0,0.927536232,0.927536232,0.927536232,0.554054054,0.554054054,0.554054054,0,0,0,0.975583927,0.975583927,0.975583927,0.964565362,0.964565362,0.964565362
71,20507.5,20504,20511,0.666666667,0.666666667,0.666666667,0.524590164,0.524590164,0.524590164,0,0,0,0.833333333,0.833333333,0.833333333,0.523809524,0.523809524,0.523809524,0,0,0,0.993952621,0.993952621,0.993952621,0.982566112,0.982566112,0.982566112
72,20515.5,20512,20519,0.888888889,0.888888889,0.888888889,0.488549618,0.488549618,0.488549618,0,0,0,0.929577465,0.929577465,0.929577465,0.496124031,0.496124031,0.496124031,0,0,0,0.98095916,0.98095916,0.98095916,0.944154114,0.944154114,0.944154114
73,20523.5,20520,20527,0.646464646,0.646464646,0.646464646,0.653061224,0.653061224,0.653061224,0,0,0,0.864864865,0.864864865,0.864864865,0.581818182,0.581818182,0.581818182,0,0,0,0.99225972,0.99225972,0.99225972,0.984248705,0.984248705,0.984248705
74,20531.5,20528,20535,0.47761194,0.47761194,0.47761194,0.561403509,0.561403509,0.561403509,0,0,0,0.551724138,0.551724138,0.551724138,0.547008547,0.547008547,0.547008547,0,0,0,0.992170567,0.992170567,0.992170567,0.99099665,0.99099665,0.99099665
75,20539.5,20536,20543,0.304761905,0.304761905,0.304761905,0.175438596,0.175438596,0.175438596,0,0,0,0.32,0.32,0.32,0.175438596,0.175438596,0.175438596,0,0,0,0.987457754,0.987457754,0.987457754,0.979948961,0.979948961,0.979948961
76,20547.5,20544,20551,0.590163934,0.590163934,0.590163934,0.618556701,0.618556701,0.618556701,0,0,0,0.692307692,0.692307692,0.692307692,0.487804878,0.487804878,0.487804878,0,0,0,0.99417558,0.99417558,0.99417558,0.992961287,0.992961287,0.992961287
77,20555.5,20552,20559,0.659793814,0.659793814,0.659793814,0.566371681,0.566371681,0.566371681,0,0,0,0.876712329,0.876712329,0.876712329,0.467153285,0.467153285,0.467153285,0,0,0,0.993876027,0.993876027,0.993876027,1,1,1
78,20563.5,20560,20567,0.673684211,0.673684211,0.673684211,0.503937008,0.503937008,0.503937008,0,0,0,0.927536232,0.927536232,0.927536232,0.43537415,0.43537415,0.43537415,0,0,0,0.992182532,0.992182532,0.992182532,0.995061277,0.995061277,0.995061277
79,20571.5,20568,20575,0.43956044,0.43956044,0.43956044,0.709677419,0.709677419,0.709677419,0,0,0,0.701754386,0.701754386,0.701754386,0.556962025,0.556962025,0.556962025,0,0,0,0.995900945,0.995900945,0.995900945,0.990819209,0.990819209,0.990819209
80,20579.5,20576,20583,0,0,0,0.646464646,0.646464646,0.646464646,0,0,0,0,0,0,0.592592593,0.592592593,0.592592593,0,0,0,0.994348961,0.994348961,0.994348961,0.996717398,0.996717398,0.996717398
81,20587.5,20584,20591,0,0,0,0.831168831,0.831168831,0.831168831,0,0,0,0,0,0,0.820512821,0.820512821,0.820512821,0,0,0,0.996183973,0.996183973,0.996183973,0.999714498,0.999714498,0.999714498
82,20595.5,20592,20599,0.714285714,0.714285714,0.714285714,0.805970149,0.805970149,0.805970149,0,0,0,0.833333333,0.833333333,0.833333333,0.794117647,0.794117647,0.794117647,0,0,0,0.993728223,0.993728223,0.993728223,0.99921463,0.99921463,0.99921463
83,20603.5,20600,20607,0.790123457,0.790123457,0.790123457,0,0,0,0,0,0,0.790123457,0.790123457,0.790123457,0,0,0,0,0,0,0.99313586,0.99313586,0.99313586,0.992366412,0.992366412,0.992366412
84,20611.5,20608,20615,0.533333333,0.533333333,0.533333333,0,0,0,0,0,0,0.688172043,0.688172043,0.688172043,0,0,0,0,0,0,0.996347177,0.996347177,0.996347177,0.994726617,0.994726617,0.994726617
85,20619.5,20616,20623,0.294117647,0.294117647,0.294117647,0.733333333,0.733333333,0.733333333,0,0,0,0.377358491,0.377358491,0.377358491,0.721311475,0.721311475,0.721311475,0,0,0,0.980568425,0.980568425,0.980568425,0.86306099,0.86306099,0.86306099
86,20627.5,20624,20631,0.385964912,0.385964912,0.385964912,0.984615385,0.984615385,0.984615385,0,0,0,0.379310345,0.379310345,0.379310345,0.761904762,0.761904762,0.761904762,0,0,0,0.993296945,0.993296945,0.993296945,0.992863359,0.992863359,0.992863359
